Abstract,Keywords
" we compared serum polychlorinated dibenzo - p - dioxins ( pcdds ) and polychlorinated dibenzofurans ( pcdfs ) among residents of two homes to levels among age- and sex - matched comparison subjects . 
 the residents of the two homes consumed contaminated eggs and beef from animals raised at the homes . 
 the animals had greater soil contact than those raised with conventional commercial husbandry practices . 
 the comparison subjects were from a similar rural area , but did not consume home - produced beef and eggs . 
 serum levels of 2,3,7 , 8-substituted tetra- , penta- , and hexacdds and penta- , hexa- , and heptacdfs were increased between 2- and 6-fold in residents from one home ; contaminated eggs and beef were consumed by residents for 2 - 15 years . 
 elevations were less for those in the other index home , where only home - produced eggs were consumed for 2 years ; a 3-fold elevation of 1,2,3,7,8,9-hexacdd as compared to controls was most apparent . 
 very strong bivariate correlations among all of the 2,3,7 , 8 penta- and hexacdds / cdfs were observed . 
 the elevations observed verify that pcdd / pcdf - contaminated food contributed to the body burden of these compounds . 
 the blood levels among the highest exposed participants are generally higher than those observed in other studies of u.s . 
 contaminated - fish consumers and higher than average adipose tissue levels observed in u.s . urban populations . 
 there are sufficient animal toxicologic and human epidemiologic data to recommend that exposures be reduced . in the study area , 
 pentachlorophenol and pentachlorophenol incineration sources have been identified , and the animal contamination and blood elevations probably reflect these sources . 
 soil reference values and site - specific risk assessments should include estimates of exposures to contamination in home - produced animal products . 
 such estimates can be verified with limited pcdd / pcdf sampling of animals and humans.imagesfigure 1figure 2 ","home, eggs, residents, contaminated, elevations"
" we have previously demonstrated that rad6 and -catenin enhance each other 's expression through a positive feedback loop to promote breast cancer development / progression . while -catenin has been implicated in melanoma pathogenesis , rad6 function has not been investigated . here 
 , we examined the relationship between rad6 and -catenin in melanoma development and progression . 
 eighty - eight cutaneous tumors 
 , 30 nevi , 29 primary melanoma , and 29 metastatic melanomas , were immunostained with anti--catenin and anti - rad6 antibodies . strong expression of rad6 was observed in only 27% of nevi as compared to 100% of primary and 96% of metastatic melanomas . 
 -catenin was strongly expressed in 97% of primary and 93% of metastatic melanomas , and unlike rad6 , in 93% of nevi . 
 none of the tumors expressed nuclear -catenin . 
 -catenin was exclusively localized on the cell membrane of 55% of primary , 62% of metastatic melanomas , and only 10% of nevi . 
 cytoplasmic -catenin was detected in 90% of nevi , 17% of primary , and 8% of metastatic melanoma , whereas 28% of primary and 30% of metastatic melanomas exhibited -catenin at both locations . 
 these data suggest that melanoma development and progression are associated with rad6 upregulation and membranous redistribution of -catenin and that -catenin and rad6 play independent roles in melanoma development . ","catenin, rad6, melanoma, melanomas, nevi"
" upon oxidation of the heterocyclic 
 ring in 2-deoxyguanosine 
 ( dg ) , the initial electrophilic intermediate displays 
 a wide range of reactivities with nucleophiles leading to many downstream 
 products . in the present study , 
 the product profiles were mapped when 
 aqueous solutions of dg were allowed to react with nh4cl in the presence of the photooxidants riboflavin and rose 
 bengal as well as the diffusible one - electron oxidant na2ircl6 . 
 product characterization identified the 2-deoxyribonucleosides 
 of spiroiminodihydantoin , 5-guanidinohydantoin , and oxazolone resulting 
 from h2o as the nucleophile . 
 when nh3 was the 
 nucleophile , a set of constitutional isomers that are diastereotopic 
 were also observed , giving characteristic masses of dg + 31 . 
 esi+-ms / ms of these nh3 adducts identified 
 them to be spirocycles with substitution of either the c5 or c8 carbonyl 
 with an amine . 
 the nh3 adducts exhibit acid - catalyzed hydrolysis 
 to spiroiminodihydantoin . 
 quantification of the nh3 and 
 h2o adducts resulting from oxidation of dg in the nucleoside , single - stranded , and duplex oligodeoxynucleotide 
 contexts were monitored allowing mechanisms for product formation 
 to be proposed . 
 these data also provide a cautionary note to those 
 who purify their oligonucleotide samples with ammonium salts before 
 oxidation because this will lead to unwanted side reactions in which 
 ammonia participates in product formation . ","nh3, dg, product, oxidation, adducts"
" backgrounda review of the literature and an extensive medline search revealed that this is the first case report of the use of guaifenesin to increase sperm motility.casea 32-year - old male presented for an infertility evaluation . 
 he reported an inability to conceive with his wife after 18 months of unprotected intercourse . 
 a semen analysis was performed that included spermatozoa count , liquefaction , morphology , motility , viscosity and volume . 
 initial results of the semen analysis demonstrated low sperm count and motility . 
 the provider offered treatment with guaifenesin 600 mg extended release tablets twice daily . 
 two months after guaifenesin therapy the semen analysis was repeated that demonstrated marked improvement in both total sperm count and motility.conclusionevidence for the effectiveness of guaifenesin is almost entirely anecdotal . 
 given the mechanism of action of guaifenesin , it is not clear from this case why the patient demonstrated such a large improvement in both sperm count and motility . 
 additional studies of the effects of guaifenesin on male fertility could yield information of the medication s effect on men with normal or decreased total sperm counts . ","guaifenesin, motility, sperm, count, semen"
" this was a cross - sectional study that investigated pesticide exposure and its risk factors targeting vegetable farmers selected through cluster sampling . 
 the sampling size calculated with p = .05 was 211 vegetable farmers and 37 farms . 
 the mean usage of pesticide was 21.35 liters . 
 risk factors included damaged backpack sprayer ( 34.7% ) , spills on hands ( 31.8% ) , and spraying against the wind ( 58% ) . 
 the top 3 pesticides used were pyrethroid ( 46.4% ) , organophosphates ( 24.2% ) , and carbamates ( 21.3% ) . 
 those who were exposed to fungicides and insecticides also had higher total pesticide exposure . 
 furthermore , a farmer who was a pesticide applicator , mixer , loader , and who had not been given instructions through training was at risk of having higher pesticide exposure . 
 the most prevalent symptoms were headache ( 64.1% ) , muscle pain ( 61.1% ) , cough ( 45.5% ) , weakness ( 42.4% ) , eye pain ( 39.9% ) , chest pain ( 37.4% ) , and eye redness ( 33.8% ) . 
 the data can be used for the formulation of an integrated program on safety and health in the vegetable industry . ","pesticide, vegetable, exposure, farmers, pain"
" cardiac progenitor cells are multipotent stem cells isolated from both embryonic and adult hearts in several species and are able to differentiate at least into smooth muscle cells , endothelial cells and cardiomyocytes . 
 the embryonic origin of these cells has not yet been demonstrated , but it has been suggested that these cells may derive from the first and secondary heart fields and from the neural crest . in the last decade , 
 two different populations of cardiac progenitor or stem cells have been identified and isolated , i.e. , the islet1 positive ( isl1 + ) and c - kit positive ( c - kit+)/stem cell antigen-1 positive ( sca-1 + ) cells . until 2012 , 
 these two populations have been considered two separate entities with different roles and a different origin , but new evidence now suggests a connection between the two populations and that the two populations may represent two subpopulations of a unique pool of cardiac stem cells , derived from a common immature primitive cell . to find 
 a common consensus on this concept is very important in furthering the application of stem cells to cardiac tissue engineering . ","cells, stem, populations, cardiac, kit"
" objectiveprimary diffuse leptomeningeal gliomatosis ( pdlg ) is a rare neoplasm with a short survival time of a few months . 
 there is currently no standardized therapeutic approach for pdlg.materials and methodswe report on a 53-year - old male patient who presented with epileptic seizures , gait disturbance , paraparesis and sensory deficits in the dermatomes t8-10.resultsmagnetic resonance imaging ( mri ) revealing numerous spinal and cranial gadolinium - enhancing nodules in the meninges and histopathology led us to diagnose primary diffuse leptomeningeal gliomatosis with who grade iii astrocytic cells . 
 consecutively , the patient underwent craniospinal radiotherapy ( 30 gy ) and 11 sequential cycles of temozolomide . 
 this regimen led to partial tumor regression . 
 thirteen months later , spinal mri revealed tumor progression . second - line chemotherapy with 5 cycles of irinotecan and bevacizumab did not prevent further clinical deterioration . 
 the patient died twenty - two months after diagnosis , being the longest survival time described thus far with respect to pdlg consisting of astrocytic tumor cells.conclusionsradiochemotherapy including temozolomide , as established standard therapy for brain malignant astrocytomas , might be valid as a basic therapeutic strategy for this pdlg subtype . ","pdlg, astrocytic, gliomatosis, leptomeningeal, temozolomide"
" purpose : to investigate to what degree the presence of hypertension ( htn ) and poor glycemic control ( gc ) influences the likelihood of having microalbuminuria ( mau ) among cuban americans with type 2 diabetes ( t2d).methods : a cross - sectional study conducted in cuban americans ( n = 179 ) with t2d . 
 participants were recruited from a randomly generated mailing list purchased from knowledge - base marketing , inc . 
 blood pressure ( bp ) was measured twice and averaged using an adult size cuff . 
 glycosylated hemoglobin ( a1c ) levels were measured from whole blood samples with the roche tina - quant method . 
 first morning urine samples were collected from each participant to determine mau by a semiquantitative assay ( immunodip).results : mau was present in 26% of cuban americans with t2d . 
 a significantly higher percentage of subjects with ma had htn ( p = 0.038 ) and elevated a1c ( p = 0.002 ) than those with normoalbuminuria . 
 logistic regression analysis showed that after controlling for covariates , subjects with poor gc were 6.76 times more likely to have mau if they had hypertension compared with those without hypertension ( p = 0.004 ; 95% confidence interval [ ci ] : 1.83 , 23.05).conclusion : the clinical significance of these findings emphasizes the early detection of mau in this hispanic subgroup combined with bp and good gc , which are fundamentals in preventing and treating diabetes complications and improving individuals renal and cardiovascular outcomes . ","mau, t2d, cuban, gc, americans"
" introduction : breast cancer accounts for 19 - 34% of all cancer cases among women in india . 
 there is high mortality due to late stage diagnosis as patients usually present at an advanced stage because of lack of awareness and nonexistent breast cancer screening programs . 
 early detection and prompt treatment offer the greatest chance of long - term survival and breast self - examination ( bse ) seems to be a important viable optional substitute for early detection of cancer.objectives:1 ) to assess the level of knowledge of degree college female students on bse . 
 2 ) to determine the effectiveness of planned teaching program among degree college female students on bse . 
 3 ) to find the association between pretest knowledge and selected demographic variables.materials and methods : pre - experimental one group pretestpost - test design was carried out among 40 degree female students by using cluster sampling method from selected colleges of udupi district.results:the data analyzed showed that majority ( 52% ) of them was in the age group of 18 - 19 years and 72% of them were had average knowledge on bse in the pretest score . 
 out of 40 participants only one student was performing bse occasionally.conclusions:awareness regarding breast self examination among young generations is useful and it is the most important viable tool for early detection . ","bse, breast, students, degree, cancer"
" the house dust mite dermatophagoides pteronyssinus allergen der p 1 is the most immunodominant allergen involved in the expression of dust mite  specific immunoglobulin ( ig)e  mediated hypersensitivity . 
 the reason for this potent ige - eliciting property of der p 1 remains unknown , but there is mounting in vitro evidence linking the allergenicity of der p 1 to its cysteine protease activity . 
 here we demonstrate for the first time that immunization of mice with proteolytically active der p 1 results in a significant enhancement in total ige and der p 1specific ige synthesis compared with animals immunized with der p 1 that was irreversibly blocked with the cysteine protease inhibitor e-64 . 
 we conclude that the proteolytic activity of der p 1 is a major contributor to its allergenicity . ","der, ige, cysteine, allergenicity, allergen"
" backgroundgiven the risk of paralysis associated with cervical transforaminal injection , is it time to reconsider transforaminal injections of the lumbar spine ? 
 arguments for discontinuing lumbar injections have been discussed in the anesthesia literature , raising concern about the risks of epidural steroid injections ( esis).methodsin a 47-year - old man , paraplegia of the lower extremities developed , specifically conus medullaris syndrome , after he underwent an esi for recurrent pain . 
 correct needle placement was verified with epidurography . immediately after the injection , 
 the patient felt his legs  going dead  ; paraplegia of the lower extremities was noted.resultsan initial magnetic resonance imaging study performed after the patient was transferred to the emergency department was unremarkable . 
 however , a later neurosurgical evaluation showed conus medullaris syndrome , and a second magnetic resonance imaging study showed the conus infarct . 
 we conducted a search of the pubmed database of articles from 2002 to 2011 containing the following keywords : complications , lumbar epidural steroid injection(s ) , cauda equina syndrome , conus medullaris infarction , spinal cord infarction , spinal cord injury , paralysis , paresis , plegia , paresthesia , and anesthesia.conclusionssummarizing this case and 5 similar cases , we weigh the potential benefits and risks of esi . although one can safely assume that this severe , devastating complication is rare , we speculate that its true incidence remains unknown , possibly because of medicolegal implications . 
 we believe that the rarity of this complication should not preclude the continued use of transforaminal esi ; rather , it should be emphasized for discussion with patients during the consent process . ","conus, medullaris, transforaminal, lumbar, injections"
" because of rampant concern that estrogenic chemicals in the environment may be adversely affecting the health of humans and wildlife , reliable methods for detecting and characterizing estrogenic chemicals are needed . 
 it is important that general agreement be reached on which tests to use and that these tests then be applied to the testing of both man - made and naturally occurring chemicals . as a step toward developing a comprehensive approach to screening 
 chemicals for estrogenic activity , three assays for detecting estrogenicity were conducted on 10 chemicals with known or suspected estrogenic activity . 
 the assays were 1 ) competitive binding with the mouse uterine estrogen receptor , 2 ) transcriptional activation in hela cells transfected with plasmids containing an estrogen receptor and a response element , and 3 ) the uterotropic assay in mice . 
 the chemicals studied were 17 beta - estradiol , diethylstilbestrol , tamoxifen , 4-hydroxytamoxifen , methoxychlor , the methoxychlor metabolite 2,2-bis(p - hydroxyphenyl)-1,1,1-trichloroethane ( hpte ) , endosulfan , nonylphenol , o , p'-ddt , and kepone . 
 these studies were conducted to assess the utility of this three - assay combination in the routine screening of chemicals , or combinations of chemicals , for estrogenic activity . 
 results were consistent among the three assays with respect to what is known about the estrogenic activities of the chemicals tested and their requirements for metabolic activation . by providing information on three levels of hormonal activity 
 ( receptor binding , transcriptional activation , and an in vivo effect in an estrogen - responsive tissue ) , an informative profile of estrogenic activity is obtained with a reasonable investment of resources.imagesp1296-afigure 1.figure 2.figure 3.figure 4.figure 5 . ","chemicals, estrogenic, figure, activity, estrogen"
" the amyloid cascade hypothesis remains a robust model of ad neurodegeneration . 
 however , amyloid deposits contain proteins besides a , such as apolipoprotein e ( apoe ) . 
 inheritance of the apoe4 allele is the strongest genetic risk factor for late - onset ad . 
 however , there is no consensus on how different apoe isotypes contribute to ad pathogenesis . 
 it has been hypothesized that apoe and apoe4 in particular is an amyloid catalyst or  
 pathological chaperone  . 
 alternatively it has been posited that apoe regulates a clearance , with apoe4 been worse at this function compared to apoe3 . 
 these views seem fundamentally opposed . 
 the former would indicate that removing apoe will reduce ad pathology , while the latter suggests increasing brain apoe levels may be beneficial . 
 here we consider the scientific basis of these different models of apoe function and suggest that these seemingly opposing views can be reconciled . the optimal therapeutic target may be to inhibit the interaction of apoe with a rather than altering apoe levels . 
 such an approach will not have detrimental effects on the many beneficial roles apoe plays in neurobiology . 
 furthermore , other a binding proteins , including act and apo j can inhibit or promote a oligomerization / polymerization depending on conditions and might be manipulated to effect ad treatment . ","apoe, ad, apoe4, amyloid, views"
" musculoskeletal disorders are among the most common problems affecting the elderly . 
 the resulting loss of mobility and physical independence can be particularly devastating in this population . 
 the aim of this article is to present some of the most frequent musculoskeletal disorders of the elderly , such as fractures , osteoporosis , osteoarthritis , microcrystal disorders , infections , and tumors . ","disorders, musculoskeletal, elderly, microcrystal, osteoporosis"
" although the association between episodic migraine and psychiatric comorbidities is well documented , few studies have focused on the comorbidity with chronic migraine ( cm ) and discrepancies exist between population - based and clinic - based data . 
 the objective of this study is to compare demographic and psychiatric comorbidity correlates between cm samples drawn from the community and tertiary care . 
 all inhabitants from a city borough were interviewed for the presence of headaches occurring 15 or more days per month . 
 cm was diagnosed after subjects had been interviewed and examined by a headache doctor . 
 participants were also assessed with a structured interview by a psychiatrist , who assigned diagnoses based on the dsm - iv . 
 the same investigators assessed all patients consecutively seen in a university - based outpatient headache center over a 4-month period . 
 the samples consist of 41 individuals from the community and 43 from the headache center . 
 sociodemographic profiles were similar between groups with the exception of the mean number of years of formal education . among individuals from the community , psychiatric diagnoses were present in 65.9  % of cases , relative to 83.7  % in those from the headache center ( p  =  0.06 ) . 
 phobias ( 41.9 vs. 29.3  % ) and depression ( 32.6 vs. 29.3  % ) were more frequent in patients from the headache center , but this difference did not reach statistical significance . 
 thus the frequency of psychiatric disorders in patients with cm was elevated in both settings , being higher in the specialty care clinic . ","headache, psychiatric, center, cm, community"
" oxidative stress triggers dna and lipid peroxidation , 
 leading to 
 the formation of electrophiles that react with dna to form adducts . 
 
 a product of this pathway , ( 3-(2-deoxy--d - erythro - pentofuranosyl)-pyrimido[1,2-]purine-10(3h)-one ) , or m1dg , is mutagenic in bacterial and 
 mammalian cells and is repaired by the nucleotide excision repair 
 pathway . in vivo , m1dg is oxidized to a primary metabolite , 
 ( 3-(2-deoxy--d - erythro - pentofuranosyl)-pyrimido[1,2-]purine-6,10(3h,5h)-dione , or 6-oxo - m1dg , 
 which is excreted in urine , bile , and feces . 
 we have developed a specific 
 monoclonal antibody against 6-oxo - m1dg and have incorporated 
 this antibody into a procedure for the immunoaffinity isolation of 
 6-oxo - m1dg from biological matrices . 
 the purified analyte 
 is quantified by lc - ms / ms using a stable isotope - labeled analogue 
 ( [ 15n5]-6-oxo - m1dg ) as an internal 
 standard . 
 healthy male sprague  dawley rats excreted 6-oxo - m1dg at a rate of 3501893 fmol / kgd in feces . 
 this 
 is the first report of the presence of the major metabolite of m1dg in rodents without exogenous introduction of m1dg . ","m1dg, oxo, feces, excreted, purine"
" although postherpetic neuralgia ( phn ) is a common chronic pain syndrome , the pathophysiology of this disorder is not well known and management is often very difficult . 
 n - methyl - d - aspartate ( nmda ) receptor antagonists are known to be effective in phn , and magnesium , a physiological blocker of nmda receptors , is widely used to treat various chronic pain disorders . here , 
 we present a case of the phn refractory to conventional treatment , which was treated successfully with transforaminal epidural injection of magnesium sulphate at the affected dermatome . ","phn, magnesium, nmda, chronic, pain"
" purposeto evaluate the association between the size of peripheral retinal nonperfusion and the number of intravitreal ranibizumab injections in patients with treatment - nave central retinal vein occlusion ( crvo).methodsfifty - four patients with treatment - nave crvo and macular edema were included . 
 each patient underwent a full ophthalmologic examination including optical coherence tomography imaging and ultrawide - field fluorescein angiography . 
 monthly intravitreal ranibizumab injections were applied according to the recommendations of the german ophthalmologic society . 
 two ophthalmologists quantified the areas of peripheral retinal nonperfusion ( group 1= less than five disc areas , group 2= more than five disc areas ) . 
 correlation analyses between the size of nonperfusion with best - corrected visual acuity , central subfield thickness , and the number of intravitreal injections were performed.resultsbest-corrected visual acuity improved significantly after intravitreal injections ( p<0.001 , both groups ) . 
 final central subfield thickness after treatment did not significantly differ between both groups ( p=0.92 , p=0.96 , respectively ) . 
 mean number of injections in group 1 and group 2 was 4.122.73 and 9.323.84 , respectively ( p<0.001 ) . 
 there was a significant positive correlation between areas of nonperfusion and the number of injections in each group . 
 ( r=0.97 , p<0.001 ; r=0.94 , p<0.001 , respectively).conclusionperipheral retinal nonperfusion in patients with crvo correlates significantly with the number of needed intravitreal ranibizumab injections . 
 ultrawide - field fluorescein angiography is a useful tool for detection of peripheral retinal ischemia , which may have direct implications in the diagnosis , follow - up , and treatment of these patients . ","injections, intravitreal, nonperfusion, retinal, areas"
