Abstract,Keywords,Processed_Abstract
" in - depth , reproducible coverage of complex proteomes is challenging because the complexity of tryptic digests subjected to lc - ms / ms analysis frequently exceeds mass spectrometer analytical capacity , which results in undersampling of data . in this study 
 , we used cancer cell lysates to systematically compare the commonly used gelc - ms / ms ( 1-d protein + 1-d peptide separation ) method using four repetitive injections ( 2-d / repetitive ) with a 3-d method that included solution isoelectric focusing and involved an equal number of lc - ms / ms runs . 
 the 3-d method detected substantially more unique peptides and proteins , including higher numbers of unique peptides from low - abundance proteins , demonstrating that additional fractionation at the protein level is more effective than repetitive analyses at overcoming lc - ms / ms undersampling . 
 importantly , more than 90% of the 2-d / repetitive protein identifications were found in the 3-d method data in a direct protein level comparison , and the reproducibility between data sets increased to greater than 96% when factors such as database redundancy and use of rigid scoring thresholds were considered . 
 hence , high reproducibility of complex proteomes , such as human cancer cell lysates , readily can be achieved when using multidimensional separation methods with good depth of analysis . ","ms, repetitive, lc, method, protein",depth reproduc coverag complex proteom challeng complex tryptic digest subject lc ms ms analysi frequent exce mass spectromet analyt capac result undersampl datum studi use cancer cell lysat systemat compar commonli use gelc ms ms 1d protein 1d peptid separ method use four repetit inject 2d repetit 3d method includ solut isoelectr focus involv equal number lc ms ms run 3d method detect substanti uniqu peptid protein includ high number uniqu peptid low abund protein demonstr addit fraction protein level effect repetit analys overcom lc ms ms undersampl importantli 90 2d repetit protein identif find 3d method datum direct protein level comparison reproduc datum set increa great 96 factor databas redund use rigid score threshold consid henc high reproduc complex proteom human cancer cell lysat readili achiev use multidimension separ method good depth analysi
" the fields of pharmacogenetics and pharmacogenomics have become increasingly promising regarding the clinical application of genetic data to aid in prevention of adverse reactions . 
 specific screening tests can predict which animals express modified proteins or genetic sequences responsible for adverse effects associated with a drug . among the genetic variations that have been investigated in dogs , the multidrug resistance gene ( mdr ) 
 is the best studied . 
 however , other genes such as cyp1a2 and cyp2b11 control the protein syntheses involved in the metabolism of many drugs . in the present study , 
 the mdr-1 , cyp1a2 and cyp2b11 genes were examined to identify snp polymorphisms associated with these genes in the following four canine breeds : uruguayan cimarron , border collie , labrador retriever and german shepherd . 
 the results revealed that several snps of the cyp1a2 and cyp2b11 genes are potential targets for drug sensitivity investigations . ","cyp2b11, cyp1a2, genes, genetic, mdr",field pharmacogenet pharmacogenom becom increasingli promis regard clinic applic genet datum aid prevent adver reaction specif screen test predict anim express modifi protein genet sequenc respon adver effect associ drug among genet variat investig dog multidrug resist gene mdr good studi howev gene cyp1a2 cyp2b11 control protein synthe involv metabol mani drug present studi mdr1 cyp1a2 cyp2b11 gene examin identifi snp polymorph associ gene follow four canin breed uruguayan cimarron border colli labrador retriev german shepherd result reveal sever snp cyp1a2 cyp2b11 gene potenti target drug sensit investig
" background : emergency department ( ed ) of tertiary health care institute in india is mostly overcrowded , over utilized and inappropriately staffed . 
 the challenges of overcrowded eds and ill - managed patient flow and admission processes result in excessively long waits for patients.aim:the objective of the present study was to analyze the patient flow system by assessing the arrival and waiting time distribution of patients in an emergency out patient department ( eopd).materials and methods : this short cross - sectional descriptive study was conducted in the eopd of a tertiary level health care institution in north india in the month of may , 2011 . 
 the data was obtained from 591 patients , who were present in the eopd during the month of may , 2011 . 
 the waiting time , inter arrival time between two consecutive patients were calculated in addition to the daily census data ( discharge rate , admission rate and transfer out rates etc . ) of the emergency.results:arrival time pattern of patients in the eopd was highly stochastic with the peak arrival hours to be 9.00 - 12.00 h in which around 26.3% patients arrived in the eopd . 
 the primary waiting areas of patients included patients under observation ( 29.6% ) ; waiting for routine diagnostic tests ( 16.4% ) and waiting for discharge ( 14.6% ) . 
 around 71% patients were waiting due to reasons within emergency complex.conclusion:the patient flow of the ed could only be addressed by multifaceted , multidisciplinary and hospital wide approach . ","waiting, eopd, arrival, patients, emergency",background emerg depart ed tertiari health care institut india mostli overcrowd util inappropri staf challeng overcrowd ed ill manag patient flow admiss process result excess long wait patientsaimth object present studi analyz patient flow system assess arriv wait time distribut patient emerg patient depart eopdmateri method short cross section descript studi conduct eopd tertiari level health care institut north india month may 2011 datum obtain 591 patient present eopd month may 2011 wait time inter arriv time two consecut patient calcul addit daili censu datum discharg rate admiss rate transfer rate etc emergencyresultsarriv time pattern patient eopd highli stochast peak arriv hour 900 1200 h around 263 patient arriv eopd primari wait area patient includ patient observ 296 wait routin diagnost test 164 wait discharg 146 around 71 patient wait due reason within emerg complexconclusionth patient flow ed could address multifacet multidisciplinari hospit wide approach
" primary intracystic squamous cell carcinoma ( scc ) of the breast is an extremely rare entity and has a low incidence in comparison with other breast cancers . 
 we report a rare case of primary intracystic scc in a 45-year - old woman who presented with a cystic lump in the right breast . 
 cytological smears of the fluid aspirated from the breast tumor revealed malignant squamous cells dispersed in single and occasional groups along with numerous cyst macrophages , suggesting cystic scc . 
 histological study of the mastectomy specimen confirmed the diagnosis of primary intracystic scc . 
 although the presence of abundant foamy macrophages in the background of fine needle aspiration cytology smears of the breast suggest benign breast lesion , when associated with malignant squamous cells , these suggest cystic primary scc or metastatic scc . 
 the primary scc should not be confused with metaplastic change in other breast carcinomas . ","scc, breast, intracystic, primary, squamous",primari intracyst squamou cell carcinoma scc breast extrem rare entiti low incid comparison breast cancer report rare case primari intracyst scc 45year old woman present cystic lump right breast cytolog smear fluid aspir breast tumor reveal malign squamou cell disper singl occasion group along numer cyst macrophag suggest cystic scc histolog studi mastectomi speciman confirm diagnosi primari intracyst scc although presenc abund foami macrophag background fine needl aspir cytolog smear breast suggest benign breast lesion associ malign squamou cell suggest cystic primari scc metastat scc primari scc confus metaplast chang breast carcinoma
" the effectiveness among inpatients with depression of a modified cognitive behavior therapy ( cbt ) program was examined . 
 a group of 300 inpatient admissions with a primary diagnosis of depression attending a private psychiatric clinic were assessed at the beginning and end of a two - week cbt program . 
 the effectiveness of the treatment was demonstrated by improvements on the beck depression inventory ( bdi ) , the health of the nation outcome scales , locus of control of behaviour scale , and the global assessment of function . 
 the changes on the bdi for patients with depression were benchmarked against estimates generated from published studies . 
 the degree of change in a two - week period for inpatients with depression was similar to that observed in efficacy studies of cbt that typically run over a more extended time . 
 implications for integrating cbt with inpatient services are discussed . ","cbt, depression, bdi, inpatient, inpatients",effect among inpati depress modifi cognit behavior therapi cbt program examin group 300 inpati admiss primari diagnosi depress attend privat psychiatr clinic assess begin end two week cbt program effect treatment demonstr improv beck depress inventori bdi health nation outcom scale locu control behaviour scale global assess function chang bdi patient depress benchmark estim gener publish studi degre chang two week period inpati depress similar observ efficaci studi cbt typic run extend time implic integr cbt inpati servic discuss
" retinal vein occlusion ( rvo ) is an obstruction of the retinal venous system , and macular edema ( me ) is a complication of rvo that can lead to blindness . 
 the canadian incidence of visual impairment ( vi ) due to me secondary to rvo is unknown . 
 this observational , retrospective study used records from the southwestern ontario database to observe the annual incidence , demographics , and comorbidity characteristics of patients with vi due to me secondary to rvo . from 47,166 patients , 73 with rvo ( > 40 years old ) 
 were identified : 53 with branch retinal vein occlusion ( brvo ) , 20 with central retinal vein occlusion ( crvo ) . 
 the annual incidence of vi ( visual acuity < 20/40 in snellen equivalent ) due to me secondary to brvo was ( mean ( 95%ci ) ) 0.056% ( 0.0110.072 ) , and to crvo was 0.021% ( 0.0080.081 ) . 
 furthermore , a greater proportion of rvo patients had hypertension ( 68% versus 14% ) or dyslipidemia ( 16% versus 10% ) , when compared to a healthy control cohort of 76,077 subjects ( p < 0.05 ) . 
 this study presents a description of the characteristics of patients with vi due to me secondary to rvo in a real - world canadian setting . 
 the results demonstrate that brvo was more frequent than crvo , and that rvo in this patient population was associated with several vascular comorbidities . ","rvo, vi, retinal, brvo, crvo",retin vein occlus rvo obstruct retin venou system macular edema complic rvo lead blind canadian incid visual impair vi due secondari rvo unknown observ retrospect studi use record southwestern ontario databas observ annual incid demograph comorbid characterist patient vi due secondari rvo 47166 patient 73 rvo 40 year old identifi 53 branch retin vein occlus brvo 20 central retin vein occlus crvo annual incid vi visual acuiti 2040 snellen equival due secondari brvo mean 95ci 0056 00110072 crvo 0021 00080081 furthermor great proport rvo patient hyperten 68 versu 14 dyslipidemia 16 versu 10 compar healthi control cohort 76077 subject p 005 studi present descript characterist patient vi due secondari rvo real world canadian set result demonstr brvo frequent crvo rvo patient popul associ sever vascular comorbid
" diabetes management during ramadan fasting is challenging to the physician in terms of minimizing the risk of hypoglycemia . 
 as compared to oral hypoglycemic agents ( ohas ) and sulfonylureas ( sus ) , which carry a higher and significant risk of hypoglycemia , newer antidiabetic agents such as dipeptidyl peptidase-4 ( dpp-4 ) inhibitors have demonstrated lower risk of hypoglycemia during ramadan fasting , with better patient compliance . 
 in addition to diabetes education and pre - ramadan assessments , the physician should also consider use of dpp-4 inhibitors ( such as vildagliptin ) during ramadan fasting to minimize the risk of hypoglycemia in type 2 diabetic subjects . 
 severe episodes of hypoglycemia have been demonstrated in recent research and clinical trials with ohas / sus . 
 conversely , these research observations have also demonstrated comparative safety and efficacy with lower risk of hypoglycemia associated with vildagliptin . 
 current research review has collected evidence - based clinical trials and observations for the drug vildagliptin to minimize the risk of hypoglycemia during ramadan fasting , while at the same time focusing the role of diabetes self - management education ( dsme ) , pre - ramadan assessments , and patient care . ","hypoglycemia, ramadan, fasting, vildagliptin, risk",diabet manag ramadan fast challeng physician term minim risk hypoglycemia compar oral hypoglycem agent oha sulfonylurea su carri high signific risk hypoglycemia new antidiabet agent dipeptidyl peptidase4 dpp4 inhibitor demonstr lower risk hypoglycemia ramadan fast well patient complianc addit diabet educ pre ramadan assess physician also consid use dpp4 inhibitor vildagliptin ramadan fast minim risk hypoglycemia type 2 diabet subject sever episod hypoglycemia demonstr recent research clinic trial oha su conver research observ also demonstr compar safeti efficaci lower risk hypoglycemia associ vildagliptin current research review collect evid base clinic trial observ drug vildagliptin minim risk hypoglycemia ramadan fast time focus role diabet self manag educ dsme pre ramadan assess patient care
" objectivewe evaluated pseudoprogression ( pspd ) following radiation therapy combined with concurrent temozolomide ( tmz ) , and we assessed pseudoresponse following anti - angiogenic therapy for patients with recurrent disease using the response assessment of the neuro - oncology working group.methodspatients who were pathologically confirmed as having high - grade glioma received radiotherapy with concurrent tmz followed by adjuvant tmz . 
 bevacizumab ( avastin ) with cpt-11 were used as a salvage option for cases of radiologic progression . magnetic resonance imaging ( mri ) 
 was routinely performed 1 month after concurrent radiochemotherapy ( crt ) and every 3 months thereafter . for cases treated with the bevacizumab - containing regimen for progressive disease 
 , mri was performed every 2 months.resultsof 55 patients , 21 ( 38% ) showed radiologic progression within 4 weeks after crt . of these patients , 
 16 ( 29% ) showed progression at second post - crt mri ( etpd ) and five ( 9% ) showed improvement ( pspd ) . 
 seven of thirty - four initially non - progressed patients showed progression at the second post - crt mri ( ltpd ) . 
 no difference in survival was observed between the etpd and ltpd groups ( p=0.595 ) . 
 five ( 50% ) of ten patients showed a radiological response after salvage bevacizumab therapy . 
 four of those patients exhibited rapid progression immediately after discontinuation of the drug ( drug holiday).conclusiontwelve weeks following treatment could be the optimal timing to determine pspd or true progression . 
 mri with gadolinium enhancement alone is not sufficient to characterize tumor response or growth . 
 clinical correlation with adequate follow - up duration and histopathologic validation may be helpful in discriminating pspd from true progression . ","progression, crt, pspd, mri, tmz",objectivew evalu pseudoprogress pspd follow radiat therapi combin concurr temozolomid tmz assess pseudorespon follow anti angiogen therapi patient recurr disea use respon assess neuro oncolog work groupmethodspati patholog confirm high grade glioma receiv radiotherapi concurr tmz follow adjuv tmz bevacizumab avastin cpt11 use salvag option case radiolog progress magnet reson imag mri routin perform 1 month concurr radiochemotherapi crt everi 3 month thereaft case treat bevacizumab contain regiman progress disea mri perform everi 2 monthsresultsof 55 patient 21 38 show radiolog progress within 4 week crt patient 16 29 show progress second post crt mri etpd five 9 show improv pspd seven thirti four initi non progress patient show progress second post crt mri ltpd differ surviv observ etpd ltpd group p0595 five 50 ten patient show radiolog respon salvag bevacizumab therapi four patient exhibit rapid progress immedi discontinu drug drug holidayconclusiontwelv week follow treatment could optim time determin pspd true progress mri gadolinium enhanc alon suffici character tumor respon growth clinic correl adequ follow durat histopatholog valid may help discrimin pspd true progress
" a 29-year - old woman who underwent the fontan procedure at 10 years of age had an incidental finding of liver masses on abdominal ultrasonography . 
 subsequent gadolinium ethoxybenzyl diethylenetriamine pentaacetic acid magnetic resonance imaging showed a 15 mm hypervascular mass with washout in the hepatobiliary phase in liver segment 4 ( s4 ) , and an 18 mm hypervascular mass without washout in the hepatobiliary phase in liver segment 2 ( s2 ) . 
 the s2 liver mass was pathologically diagnosed to be a regenerative nodule by an ultrasound - guided needle biopsy , and the s4 liver mass was pathologically diagnosed as a poorly differentiated hepatocellular carcinoma after partial hepatectomy . ","liver, mass, s2, s4, hepatobiliary",29year old woman underw fontan procedur 10 year age incident find liver mass abdomin ultrasonographi subsequ gadolinium ethoxybenzyl diethylenetriamin pentaacet acid magnet reson imag show 15 mm hypervascular mass washout hepatobiliari phase liver segment 4 s4 18 mm hypervascular mass without washout hepatobiliari phase liver segment 2 s2 s2 liver mass patholog diagnos regen nodul ultrasound guid needl biopsi s4 liver mass patholog diagnos poorli differenti hepatocellular carcinoma partial hepatectomi
" case summarythis case describes a young non - pregnant cat that presented with uterine prolapse in association with an unusual diffuse , polypoid , fibrosing perimetritis and parametritis . 
 following ovariohysterectomy the cat recovered fully . 
 no intra - abdominal complications were seen on ultrasound examination 3 months postsurgery . at the time of writing , 
 the cat remains healthy.relevance and novel informationuterine prolapse in the cat is relatively rare and usually associated with the periparturient period . 
 inflammatory polypoid perimetritis and parametritis have not previously been documented in cats , and in dogs have only been reported in association with the administration of oestrogenic compounds . 
 the polypoid inflammation affecting the uterus and parametrium may have contributed to increased laxity of the uterine ligaments and predisposed to the development of uterine prolapse . ","cat, prolapse, polypoid, uterine, parametritis",case summarythi case describ young non pregnant cat present uterin prolap associ unusu diffus polypoid fibro perimetr parametr follow ovariohysterectomi cat recov fulli intra abdomin complic see ultrasound examin 3 month postsurgeri time write cat remain healthyrelev novel informationuterin prolap cat rel rare usual associ periparturi period inflammatori polypoid perimetr parametr previous document cat dog report associ administr oestrogen compound polypoid inflamm affect uteru parametrium may contribut increa laxiti uterin ligament predispo develop uterin prolap
" background : acinetobacter baumannii is the most prevalent strain in hospitals and different clinical departments.objectives:the current study aimed to investigate the genetic characteristics and resistance mechanisms of a. baumannii isolated from clinical samples in shaoxing people s hospital affiliated to zhejiang university , shaoxing , china.patients and methods : acinetobacter baumannii strains were isolated from blood , phlegm and skin of the patients hospitalized in different departments as respiratory medicine , plastic surgery and intensive care unit ( icu ) . 
 multilocus sequence typing ( mlst ) was used to characterize the isolates . 
 kirby - bauer test was used to evaluate antibiotic resistance of the bacteria . 
 the expression of resistance inducing genes was detected by reverse transcription polymerase chain reaction ( rt - pcr ) . 
 the results were analyzed and compared.results:two bacterial types , st208 , and st218 , were identified in all 140 samples . 
 the st208 mainly came from icu and department of respiratory medicine , while st218 from department of plastic surgery ; 70.21% of st208 and 84.78% of st218 were carbapenem - resistant acinetobacter baumannii ( crab ) and carbapenem - susceptible acinetobacter baumannii ( csab ) , respectively . 
 multidrug - resistance genes in crab isolated from the hospital mainly included , oxa-23 , oxa-5 , intl 1 and qace1-sul 1 . 
 besides , the highest and lowest antibiotic resistance was observed in the strains isolated from blood samples and wounds , respectively.conclusions:the distribution of ab varies in different clinical departments and samples . in the hospital under study , the main types of ab were st208 and st218 . 
 the genes which affect the ability of antibiotic - resistance were oxa-23 , oxa-51 , intl 1 and qace1-sul 1 . ","baumannii, oxa, st218, st208, acinetobacter",background acinetobact baumannii preval strain hospit differ clinic departmentsobjectivesth current studi aim investig genet characterist resist mechan baumannii isol clinic sampl shaox peopl hospit affili zhejiang univer shaox chinapati method acinetobact baumannii strain isol blood phlegm skin patient hospit differ depart respiratori medicin plastic surgeri inten care unit icu multilocu sequenc type mlst use character isol kirbi bauer test use evalu antibiot resist bacteria express resist induc gene detect rever transcript polymeras chain reaction rt pcr result analyz comparedresultstwo bacteri type st208 st218 identifi 140 sampl st208 mainli come icu depart respiratori medicin st218 depart plastic surgeri 7021 st208 8478 st218 carbapenem resist acinetobact baumannii crab carbapenem suscept acinetobact baumannii csab respect multidrug resist gene crab isol hospit mainli includ oxa23 oxa5 intl 1 qace1sul 1 besid high low antibiot resist observ strain isol blood sampl wound respectivelyconclusionsth distribut ab vari differ clinic depart sampl hospit studi main type ab st208 st218 gene affect abil antibiot resist oxa23 oxa51 intl 1 qace1sul 1
" in this study , the effects of high phosphorus ( p ) diet on bone metabolism - related gene expression were investigated in young and aged mice . 
 twelve- and 80-week - old ddy male mice were divided into two groups , respectively , and fed a control diet containing 0.3% p or a high p diet containing 1.2% p. after 4 weeks of treatment , serum parathyroid hormone ( pth ) concentration was significantly higher in the high p groups than in the control groups in both young and aged mice and was significantly higher in aged mice than in young mice fed the high p diet . 
 high p diet significantly increased receptor activator of nf-b ligand ( rankl ) mrna in the femur of both young and aged mice and significantly increased the rankl / osteoprotegerin ( opg ) mrna ratio only in aged mice . 
 high p diet significantly increased mrna expression of transient receptor potential vanilloid type 6 , calbindin - d9k , and plasma membrane ca2 + -atpase 1b in the duodenum of both young and aged mice . 
 these results suggest that high p diet increased rankl mrna expression in the femur and calcium absorption - related gene expression in the duodenum regardless of age . 
 furthermore , the high p diet - induced increase in pth secretion might increase the rankl / opg mrna ratio in aged mice . ","mice, diet, aged, mrna, rankl",studi effect high phosphoru p diet bone metabol relat gene express investig young age mouse twelv 80week old ddi male mouse divid two group respect fed control diet contain 03 p high p diet contain 12 p 4 week treatment serum parathyroid hormon pth concentr significantli high high p group control group young age mouse significantli high age mouse young mouse fed high p diet high p diet significantli increa receptor activ nfb ligand rankl mrna femur young age mouse significantli increa rankl osteoprotegerin opg mrna ratio age mouse high p diet significantli increa mrna express transient receptor potenti vanilloid type 6 calbindin d9k plasma membran ca2 atpas 1b duodenum young age mouse result suggest high p diet increa rankl mrna express femur calcium absorpt relat gene express duodenum regardless age furthermor high p diet induc increa pth secret might increa rankl opg mrna ratio age mouse
" [ purpose ] the purpose of this study was to investigate the differences in symmetry of 
 sitting posture between typical developmental ( td ) children and hemi - cerebral palsy ( cp ) 
 children . 
 [ subjects and methods ] a school chair mounted on a force platform was used to 
 assess the quiet - sitting pressure distribution of 10 td and 10 cp children . 
 [ results ] the 
 symmetry index of the td children was significantly closer to zero than that of the cp 
 children irrespective of the latter group s hemiparetic side . [ conclusions ] sitting 
 posture on school chairs of cp children was more asymmetrical than that of td 
 children . ","children, cp, td, sitting, posture",purpos purpos studi investig differ symmetri sit postur typic development td child hemi cerebr palsi cp child subject method school chair mount forc platform use assess quiet sit pressur distribut 10 td 10 cp child result symmetri index td child significantli close zero cp child irrespect latter group hemiparet side conclus sit postur school chair cp child asymmetr td child
" a statistical model was developed in this study to describe bioethanol production through a batch fermentation process of sugarcane molasses by locally isolated saccharomyces cerevisiae y-39 . 
 response surface methodology rsm based on central composite face centered design ccfd was employed to statistically evaluate and optimize the conditions for maximum bioethanol production and study the significance and interaction of incubation period , initial ph , incubation temperature , and molasses concentration on bioethanol yield . with the use of the developed quadratic model equation , a maximum ethanol production of 255  
 g / l was obtained in a batch fermentation process at optimum operating conditions of approximately 71  h , ph 5.6 , 38c , molasses concentration 18%  wt.% , and 100  rpm . ","molasses, bioethanol, production, maximum, fermentation",statist model develop studi describ bioethanol product batch ferment process sugarcan molass local isol saccharomyc cerevisia y39 respon surfac methodolog rsm base central composit face center design ccfd employ statist evalu optim condit maximum bioethanol product studi signific interact incub period initi ph incub temperatur molass concentr bioethanol yield use develop quadrat model equat maximum ethanol product 255 g l obtain batch ferment process optimum oper condit approxim 71 h ph 56 38c molass concentr 18 wt 100 rpm
" purposeto develop and standardize a novel organ culture model using porcine central neuroretina explants and rpe cells separated by a cell culture membrane.methodsrpe cells were isolated from porcine eyes , expanded , and seeded on the bottom of cell culture inserts . 
 neuroretina explants were obtained from the area centralis and cultured alone ( controls ) on cell culture membranes or supplemented with rpe cells in the same wells but physically separated by the culture membrane . finally , cellular and tissue specimens were processed for phase contrast , cyto-/histological , and immunochemical evaluation . 
 neuroretina thickness was also determined.resultscompared to the neuroretinas cultured alone , the neuroretinas cocultured with rpe cells maintained better tissue structure and cellular organization , displayed better preservation of photoreceptors containing rhodopsin , lower levels of glial fibrillary acidic protein immunoexpression , and preservation of cellular retinaldehyde binding protein both markers of reactive gliosis . 
 neuroretina thickness was significantly greater in the cocultures.conclusionsa coculture model of central porcine neuroretina and rpe cells was successfully developed and standardized . 
 this model mimics a subretinal space and will be useful in studying interactions between the rpe and the neuroretina and to preclinically test potential therapies . ","neuroretina, rpe, culture, porcine, cells",purposeto develop standard novel organ cultur model use porcin central neuroretina explant rpe cell separ cell cultur membranemethodsrp cell isol porcin eye expand seed bottom cell cultur insert neuroretina explant obtain area centrali cultur alon control cell cultur membran supplement rpe cell well physic separ cultur membran final cellular tissu speciman process phase contrast cytohistolog immunochem evalu neuroretina thick also determinedresultscompar neuroretina cultur alon neuroretina cocultur rpe cell maintain well tissu structur cellular organ display well preserv photoreceptor contain rhodopsin lower level glial fibrillari acid protein immunoexpress preserv cellular retinaldehyd bind protein marker reactiv gliosi neuroretina thick significantli great coculturesconclusionsa cocultur model central porcin neuroretina rpe cell success develop standard model mimic subretin space use studi interact rpe neuroretina preclin test potenti therapi
" management of stone disease in an ectopic kidney is challenging . 
 laparoscopy or ultrasound guided percutaneous nephrolithotomy and retrograde intra - renal surgery are the preferred techniques for these stones . 
 we performed ultrasound guided microperc using a 16 g needle for the management of renal calculi in pelvic ectopic kidneys in two patients . 
 there was no intraoperative or post - operative complication . 
 both patients had complete stone clearance and were discharged on the first post - operative day . 
 ultrasound guided microperc is a safe and effective option for the management of small renal calculi in pelvic ectopic kidneys . ","ectopic, guided, ultrasound, renal, calculi",manag stone disea ectop kidney challeng laparoscopi ultrasound guid percutan nephrolithotomi retrograd intra renal surgeri prefer techniqu stone perform ultrasound guid microperc use 16 g needl manag renal calculi pelvic ectop kidney two patient intraop post oper complic patient complet stone clearanc discharg first post oper day ultrasound guid microperc safe effect option manag small renal calculi pelvic ectop kidney
" objectivethe aim of this study was to evaluate the effect of simulated periodontal ligament 
 ( spdl ) on custom cast dowel and core removal by ultrasonic vibration.material and methodsthirty - two human maxillary canines were included in resin cylinders with or 
 without spdl made from polyether impression material . in order to allow tensile 
 testing , 
 the roots included in resin cylinders with spdl were fixed to cylinders 
 with two stainless steel wires . 
 post - holes were prepared by standardizing the 
 length at 8 mm and root canal impressions were made with self - cured resin acrylic . 
 
 cast dowel and core sets were fabricated and luted with panavia f resin cement . 
 
 half of the samples were submitted to ultrasonic vibration before the tensile 
 test . 
 data were analyzed statistically by two - way anova and tukey 's post - hoc tests 
 ( p<0.05).resultsthe ultrasonic vibration reduced the tensile strength of the samples directly 
 included in resin cylinders . 
 there was no difference between the values , whether 
 or not ultrasonic vibration was used , when the pdl was simulated . 
 however , the 
 presence of spdl affected the tensile strength values even when no ultrasonic 
 vibration was applied.conclusionsimulation of pdl has an effect on both ultrasonic vibration and tensile 
 testing . ","vibration, ultrasonic, tensile, resin, spdl",objectiveth aim studi evalu effect simul periodont ligament spdl custom cast dowel core remov ultrason vibrationmateri methodsthirti two human maxillari canin includ resin cylind without spdl make polyeth impress materi order allow tensil test root includ resin cylind spdl fix cylind two stainless steel wire post hole prepar standard length 8 mm root canal impress make self cure resin acryl cast dowel core set fabric lute panavia f resin cement half sampl submit ultrason vibrat tensil test datum analyz statist two way anova tukey post hoc test p005resultsth ultrason vibrat reduc tensil strength sampl directli includ resin cylind differ valu whether ultrason vibrat use pdl simul howev presenc spdl affect tensil strength valu even ultrason vibrat appliedconclusionsimul pdl effect ultrason vibrat tensil test
" human metapneumovirus ( hmpv ) is a recently discovered virus that causes respiratory illness in children that can lead to hospitalization . 
 our study was undertaken to further understand hmpv - associated illness , compare clinical characteristics of hmpv and respiratory syncytial virus ( rsv ) , and establish the utility of routine screening for hmpv . 
 we retrospectively identified hmpv - associated illnesses described among children with respiratory symptoms admitted to a tertiary care center in southeast michigan during the 20062007 respiratory viral season . 
 a convenience sample of 256 nasopharyngeal specimens was subjected to nucleic acid extraction and amplification to identify those specimens positive for hmpv . 
 a medical record review was undertaken to retrieve demographic and clinical data of patients with hmpv , comparing them to rsv - positive patients and patients evaluated for respiratory symptoms who were negative for hmpv and rsv . 
 we found that hmpv was the second most commonly identified virus after rsv . 
 hmpv - positive patients were older than rsv - positive patients . among hmpv - positive patients , 
 pneumonia was diagnosed in 37.5% and bronchiolitis in 31.2% , peribronchial cuffing was present on chest radiographs of 37.5% , antibiotic treatment was used in 81.2% , and admission to the icu was seen in 37.5% . finally , hmpv - positive patients were more likely to have fever than rsv - positive patients or patients negative for hmpv and rsv . 
 we concluded that hmpv is a major pathogen associated with hospitalization of children and with the same severity of illness as rsv but in a slightly older population . 
 because of the apparent prevalence and severity of illness , routine screening should be implemented . ","hmpv, rsv, respiratory, illness, positive",human metapneumoviru hmpv recent discov viru caus respiratori ill child lead hospit studi undertake understand hmpv associ ill compar clinic characterist hmpv respiratori syncyti viru rsv establish util routin screen hmpv retrospect identifi hmpv associ ill describ among child respiratori symptom admit tertiari care center southeast michigan 20062007 respiratori viral season conveni sampl 256 nasopharyng speciman subject nucleic acid extract amplif identifi speciman posit hmpv medic record review undertake retriev demograph clinic datum patient hmpv compar rsv posit patient patient evalu respiratori symptom neg hmpv rsv find hmpv second commonli identifi viru rsv hmpv posit patient old rsv posit patient among hmpv posit patient pneumonia diagnos 375 bronchiol 312 peribronchi cuf present chest radiograph 375 antibiot treatment use 812 admiss icu see 375 final hmpv posit patient like fever rsv posit patient patient neg hmpv rsv conclud hmpv major pathogen associ hospit child sever ill rsv slightli old popul appar preval sever ill routin screen implement
" noncode ( http://www.bioinfo.org/noncode/ ) is an interactive database that aims to present the most complete collection and annotation of non - coding rnas , especially long non - coding rnas ( lncrnas ) . 
 the recently reduced cost of rna sequencing has produced an explosion of newly identified data . 
 revolutionary third - generation sequencing methods have also contributed to more accurate annotations . 
 accumulative experimental data also provides more comprehensive knowledge of lncrna functions . in this update 
 , noncode has added six new species , bringing the total to 16 species altogether . 
 the lncrnas in noncode have increased from 210 831 to 527,336 . for human and mouse , 
 the lncrna numbers are 167,150 and 130,558 , respectively . 
 noncode 2016 has also introduced three important new features : ( i ) conservation annotation ; ( ii ) the relationships between lncrnas and diseases ; and ( iii ) an interface to choose high - quality datasets through predicted scores , literature support and long - read sequencing method support . 
 noncode is also accessible through http://www.noncode.org/. ","noncode, lncrnas, sequencing, lncrna, org",noncod httpwwwbioinfoorgnoncod interact databas aim present complet collect annot non code rna especi long non code rna lncrna recent reduc cost rna sequenc produc explo newli identifi datum revolutionari third gener sequenc method also contribut accur annot accumul experiment datum also provid comprehens knowledg lncrna function updat noncod ad six new speci bring total 16 speci altogeth lncrna noncod increa 210 831 527336 human mous lncrna number 167150 130558 respect noncod 2016 also introduc three import new featur conserv annot ii relationship lncrna disea iii interfac choo high qualiti dataset predict score literatur support long read sequenc method support noncod also access httpwwwnoncodeorg
